#1.3									
1170	6	3	2						
100ng/ml EGF (HCC202)	HCC202	EGF	100ng/ml	67283.60927	61799.81372	62621.64378	53226.56401	37691.86899	22421.54071
1ng/ml EGF (HCC38)	HCC38	EGF	1ng/ml	6308.371512	5692.878189	5183.436262	33243.61422	27796.17679	21517.03542
100ng/ml EGF (HCC38)	HCC38	EGF	100ng/ml	13886.10609	12036.46434	5206.490913	55052.49913	42248.9339	14382.27111
1ng/ml EGF (HCC70)	HCC70	EGF	1ng/ml	25551.38114	27912.10715	30761.32477	22945.47323	14309.0468	15725.8939
100ng/ml EGF (HCC70)	HCC70	EGF	100ng/ml	37221.78619	46284.7139	39711.93569	45388.13011	22820.84602	12416.66468
1ng/ml EGF (Hs 578T)	Hs 578T	EGF	1ng/ml	24107.61624	19588.10756	21994.6834	37397.31691	24971.45566	19077.68711
100ng/ml EGF (Hs 578T)	Hs 578T	EGF	100ng/ml	88911.66457	79179.29771	32318.22683	67988.02888	54467.01232	14984.02885
1ng/ml EGF (MDA-MB-134-VI)	MDA-MB-134-VI	EGF	1ng/ml	842.221377	842.221377	842.221377	2006.296572	1080.612327	1970.868264
100ng/ml EGF (MDA-MB-134-VI)	MDA-MB-134-VI	EGF	100ng/ml	842.221377	842.221377	842.221377	1232.259849	1279.717026	1873.0215
1ng/ml EGF (MDA-MB-157)	MDA-MB-157	EGF	1ng/ml	1653.677478	1620.617817	1069.931871	9665.452538	13672.50341	11797.7016
100ng/ml EGF (MDA-MB-157)	MDA-MB-157	EGF	100ng/ml	6906.456991	3041.334936	1608.041808	24310.35987	17491.33975	6589.414142
1ng/ml EGF (MDA-MB-175-VII)	MDA-MB-175-VII	EGF	1ng/ml	14083.4481	13673.64592	11773.95182	30546.11549	27871.08149	28856.2077
100ng/ml EGF (MDA-MB-175-VII)	MDA-MB-175-VII	EGF	100ng/ml	15204.75055	15115.13934	10646.83732	36863.21072	37947.51697	34757.60946
1ng/ml EGF (MDA-MB-361)	MDA-MB-361	EGF	1ng/ml	2414.442957	2423.399348	2441.108574	1220.771558	430.2735854	166.1702235
100ng/ml EGF (MDA-MB-361)	MDA-MB-361	EGF	100ng/ml	2843.026598	3131.666637	3113.346747	3706.751538	2691.8589	166.1702235
1ng/ml EGF (MDA-MB-415)	MDA-MB-415	EGF	1ng/ml	26801.29858	28915.86807	32764.5375	915.3018844	43.43729105	43.43729105
100ng/ml EGF (MDA-MB-415)	MDA-MB-415	EGF	100ng/ml	16394.38456	33224.7034	38073.19972	191.9222117	43.43729105	272.2598269
1ng/ml EGF (MDA-MB-436)	MDA-MB-436	EGF	1ng/ml	9534.901509	9565.550567	8549.928921	18140.01521	20266.64376	16311.81201
100ng/ml EGF (MDA-MB-436)	MDA-MB-436	EGF	100ng/ml	15801.25016	15543.03953	10567.74403	26790.7814	23793.32329	18351.43254
1ng/ml EGF (MDA-MB-453)	MDA-MB-453	EGF	1ng/ml	6375.389595	6002.649414	5996.103045	3673.941426	2682.6338	2164.264694
100ng/ml EGF (MDA-MB-453)	MDA-MB-453	EGF	100ng/ml	7928.691895	7199.426386	7406.39236	6227.723491	2326.525551	2481.97182
1ng/ml EGF (MDA-MB-468)	MDA-MB-468	EGF	1ng/ml	41066.01849	40361.65697	43834.42996	32799.77051	28308.1269	25669.56929
100ng/ml EGF (MDA-MB-468)	MDA-MB-468	EGF	100ng/ml	58243.75625	61057.32041	57932.59089	52196.36191	46258.30107	34920.84863
1ng/ml EGF (T47D)	T47D	EGF	1ng/ml	15512.95712	14469.90351	20340.83871	34340.34938	27463.1792	29644.48562
100ng/ml EGF (T47D)	T47D	EGF	100ng/ml	32590.28171	28524.02912	16403.59491	41207.38231	33970.62869	22897.02971
1ng/ml EGF (UACC-812)	UACC-812	EGF	1ng/ml	4088.267206	3856.132661	3829.914419	26779.85038	25060.98299	27673.06765
100ng/ml EGF (UACC-812)	UACC-812	EGF	100ng/ml	5437.279216	5007.771389	7852.106945	42670.30298	37916.06722	34705.8156
1ng/ml EGF (UACC-893)	UACC-893	EGF	1ng/ml	26398.18479	27553.74833	29782.96907	2073.098393	2073.098393	3866.41852
100ng/ml EGF (UACC-893)	UACC-893	EGF	100ng/ml	30271.51999	40095.14664	26022.54912	4898.405086	7235.280137	2073.098393
1ng/ml EGF (ZR-75-1)	ZR-75-1	EGF	1ng/ml	6661.261251	5194.032286	5279.243141	21914.45054	13346.0168	18080.10693
100ng/ml EGF (ZR-75-1)	ZR-75-1	EGF	100ng/ml	28339.92244	12390.78089	4867.609164	71799.49459	33935.07324	8203.111164
1ng/ml EGF (ZR-75-30)	ZR-75-30	EGF	1ng/ml	6006.17825	6379.427242	6279.593498	16832.63248	16177.93212	15039.41702
100ng/ml EGF (ZR-75-30)	ZR-75-30	EGF	100ng/ml	7662.028775	8553.340542	21840.73649	17149.95437	15509.76435	20842.27487
1ng/ml EGF (184B5)	184B5	EGF	1ng/ml	13047.0323	6990.15664	6174.302671	33115.46764	31061.53548	22431.79251
100ng/ml EGF (184B5)	184B5	EGF	100ng/ml	31495.15793	20879.81964	11778.89934	41110.73457	34243.87085	21844.5281
1ng/ml EGF (HCC1187)	HCC1187	EGF	1ng/ml	23903.90264	25706.79689	35329.98273	16753.62011	14215.81575	17684.5723
100ng/ml EGF (HCC1187)	HCC1187	EGF	100ng/ml	66520.54642	56373.6124	43113.77962	26154.10982	24175.56904	19091.75415
1ng/ml EGF (HCC1500)	HCC1500	EGF	1ng/ml	2583.102236	1244.241173	1244.241173	3077.164256	3077.164256	3077.164256
100ng/ml EGF (HCC1500)	HCC1500	EGF	100ng/ml	1244.241173	1872.511514	2612.016865	3077.164256	3077.164256	3077.164256
1ng/ml EGF (MCF 10A)	MCF 10A	EGF	1ng/ml	7906.506987	5034.443047	5578.125933	21700.22917	14222.34539	9706.081681
100ng/ml EGF (MCF 10A)	MCF 10A	EGF	100ng/ml	25185.7402	14604.28711	9794.445095	25997.34432	15469.7193	12210.41263
1ng/ml EGF (MCF 10F)	MCF 10F	EGF	1ng/ml	4481.29266	2493.404311	3541.304274	16742.92367	11929.93342	10555.09851
100ng/ml EGF (MCF 10F)	MCF 10F	EGF	100ng/ml	8487.768342	3697.176551	2603.383159	32541.70845	19901.03952	7550.853504
1ng/ml EGF (MCF12A)	MCF12A	EGF	1ng/ml	2075.893936	1924.944808	2202.508461	7564.023424	9392.173326	12338.69051
100ng/ml EGF (MCF12A)	MCF12A	EGF	100ng/ml	4467.584508	2577.690235	1636.379303	20797.89672	18381.42226	18795.8995
1ng/ml EPR (MCF7)	MCF7	EPR	1ng/ml	889.1092723	889.1092723	2238.910074	1848.922289	248.7780028	849.0243546
100ng/ml EPR (MCF7)	MCF7	EPR	100ng/ml	889.1092723	889.1092723	889.1092723	7130.304402	3929.970805	3716.649528
1ng/ml EPR (SK-BR-3)	SK-BR-3	EPR	1ng/ml	15985.87563	16572.50334	7941.273395	37803.53984	33241.4483	24332.6886
100ng/ml EPR (SK-BR-3)	SK-BR-3	EPR	100ng/ml	35418.17958	37966.27846	21723.11032	44132.44527	41982.10743	30431.29911
1ng/ml EPR (MDA-MB-231)	MDA-MB-231	EPR	1ng/ml	2014.055085	547.0725358	1486.119139	3186.190313	3696.758714	1433.117362
100ng/ml EPR (MDA-MB-231)	MDA-MB-231	EPR	100ng/ml	6614.871305	1544.993505	1912.373131	18866.55609	11997.18181	8454.603908
1ng/ml EPR (AU565)	AU565	EPR	1ng/ml	9380.5448	13988.30533	7062.224584	34654.61119	38608.57597	28681.90354
100ng/ml EPR (AU565)	AU565	EPR	100ng/ml	22376.16228	32149.46189	19313.75981	44965.77138	48969.51094	35922.69221
1ng/ml EPR (BT-20)	BT-20	EPR	1ng/ml	16195.68269	16121.33277	13794.50539	28268.80836	27232.57672	21474.86383
100ng/ml EPR (BT-20)	BT-20	EPR	100ng/ml	16371.52082	17739.98554	15514.53423	29353.82718	28411.26956	23815.49131
1ng/ml EPR (BT-474)	BT-474	EPR	1ng/ml	18707.47828	19897.08409	18236.62744	16701.79105	13266.51461	15526.51669
100ng/ml EPR (BT-474)	BT-474	EPR	100ng/ml	35107.09706	30100.86248	30808.29847	39718.17826	29656.31426	20445.15214
1ng/ml EPR (BT-483)	BT-483	EPR	1ng/ml	3275.815841	2952.025746	3557.141662	1505.443448	281.9715551	281.9715551
100ng/ml EPR (BT-483)	BT-483	EPR	100ng/ml	3041.854019	2923.341945	3039.200002	17933.73402	4913.349021	3670.501199
1ng/ml EPR (BT-549)	BT-549	EPR	1ng/ml	8882.748461	9170.863907	9243.455303	2842.894557	1479.583328	2240.445824
100ng/ml EPR (BT-549)	BT-549	EPR	100ng/ml	17117.27378	10858.76061	11959.0779	16567.40246	8512.836797	8536.340794
1ng/ml EPR (CAMA-1)	CAMA-1	EPR	1ng/ml	5106.070931	4648.796247	5340.342131	118.6321857	70.21348513	595.7593247
100ng/ml EPR (CAMA-1)	CAMA-1	EPR	100ng/ml	5341.477009	5498.819707	5639.544552	4550.488491	3435.358446	2984.46341
1ng/ml EPR (HCC1395)	HCC1395	EPR	1ng/ml	12813.65598	11503.84766	12426.5565	2294.37206	2294.37206	2294.37206
100ng/ml EPR (HCC1395)	HCC1395	EPR	100ng/ml	20755.15374	22009.47908	19480.45474	24389.56932	13102.86845	8347.260442
1ng/ml EPR (HCC1419)	HCC1419	EPR	1ng/ml	37490.68202	27502.64582	14800.0187	24508.91481	19788.45133	22069.96133
100ng/ml EPR (HCC1419)	HCC1419	EPR	100ng/ml	40173.00013	31750.83442	23477.571	32211.12621	23992.78241	26530.23563
1ng/ml EPR (HCC1428)	HCC1428	EPR	1ng/ml	1040.118819	1040.118819	1040.118819	103.8606935	103.8606935	103.8606935
100ng/ml EPR (HCC1428)	HCC1428	EPR	100ng/ml	1040.118819	1040.118819	1040.118819	25774.80469	10079.15978	8781.06651
1ng/ml EPR (HCC1569)	HCC1569	EPR	1ng/ml	23618.45255	26002.88664	22989.11921	15721.85075	11430.60051	13333.27118
100ng/ml EPR (HCC1569)	HCC1569	EPR	100ng/ml	46185.01809	56492.50525	42275.72716	33891.12928	36491.70071	26639.54263
1ng/ml EPR (HCC1806)	HCC1806	EPR	1ng/ml	12164.54089	17934.5547	21378.06072	40419.01513	40135.22529	28230.164
100ng/ml EPR (HCC1806)	HCC1806	EPR	100ng/ml	17146.69087	31887.92669	29938.59057	60418.93719	58776.43614	46851.41731
1ng/ml EPR (HCC1937)	HCC1937	EPR	1ng/ml	4820.506838	2751.538647	3733.094733	12909.73556	3379.023567	5424.814066
100ng/ml EPR (HCC1937)	HCC1937	EPR	100ng/ml	11784.65121	8726.643157	8570.370132	34224.45546	26443.09767	24416.6262
1ng/ml EPR (HCC1954)	HCC1954	EPR	1ng/ml	3657.292515	2637.382212	4220.600394	27577.11057	17114.85543	19143.83141
100ng/ml EPR (HCC1954)	HCC1954	EPR	100ng/ml	8398.063353	7296.685404	7625.079764	42492.87558	36472.58354	33877.13792
1ng/ml EPR (HCC202)	HCC202	EPR	1ng/ml	58150.49925	56447.10214	55854.99154	15456.0773	14072.31482	15036.15259
100ng/ml EPR (HCC202)	HCC202	EPR	100ng/ml	65401.79506	69001.49408	57716.66189	37715.09636	38271.01569	27047.87695
1ng/ml EPR (HCC38)	HCC38	EPR	1ng/ml	3499.788001	2924.21216	3562.10143	3852.363958	4384.719469	2840.410108
100ng/ml EPR (HCC38)	HCC38	EPR	100ng/ml	8915.128018	6638.250639	5075.14527	45875.32375	29541.5862	19538.30302
1ng/ml EPR (HCC70)	HCC70	EPR	1ng/ml	25531.16412	24554.87208	28005.07089	20478.2652	7477.284083	8590.266755
100ng/ml EPR (HCC70)	HCC70	EPR	100ng/ml	35731.08327	43729.42066	43076.77375	40005.46693	24692.20584	21225.68612
1ng/ml EPR (Hs 578T)	Hs 578T	EPR	1ng/ml	4237.247571	3689.330091	3625.969896	5699.940322	4123.626492	4307.736991
100ng/ml EPR (Hs 578T)	Hs 578T	EPR	100ng/ml	33421.37971	26204.61639	26610.06606	47187.19927	26975.57716	24474.47664
1ng/ml EPR (MDA-MB-134-VI)	MDA-MB-134-VI	EPR	1ng/ml	842.221377	842.221377	842.221377	2102.108602	1463.381685	1827.299832
100ng/ml EPR (MDA-MB-134-VI)	MDA-MB-134-VI	EPR	100ng/ml	842.221377	842.221377	842.221377	1342.195326	1062.299721	1440.101935
1ng/ml EPR (MDA-MB-157)	MDA-MB-157	EPR	1ng/ml	1069.931871	1069.931871	1069.931871	252.4573021	252.4573021	252.4573021
100ng/ml EPR (MDA-MB-157)	MDA-MB-157	EPR	100ng/ml	1069.931871	1069.931871	1069.931871	5242.835526	5819.831495	4829.901164
1ng/ml EPR (MDA-MB-175-VII)	MDA-MB-175-VII	EPR	1ng/ml	12451.10818	13023.75335	11808.19006	24658.47011	24269.41506	21872.36496
100ng/ml EPR (MDA-MB-175-VII)	MDA-MB-175-VII	EPR	100ng/ml	12045.11025	11591.24218	11884.69774	25487.70034	23288.8646	25296.30589
1ng/ml EPR (MDA-MB-361)	MDA-MB-361	EPR	1ng/ml	2591.942333	2370.576999	2217.300589	272.7051549	166.1702235	1406.037097
100ng/ml EPR (MDA-MB-361)	MDA-MB-361	EPR	100ng/ml	2411.796751	3079.047843	2287.425056	896.4222677	1535.609314	614.103421
1ng/ml EPR (MDA-MB-415)	MDA-MB-415	EPR	1ng/ml	28646.79228	27348.50658	28887.49134	293.9902136	43.43729105	43.43729105
100ng/ml EPR (MDA-MB-415)	MDA-MB-415	EPR	100ng/ml	27840.06802	30197.24848	30730.56999	43.43729105	43.43729105	43.43729105
1ng/ml EPR (MDA-MB-436)	MDA-MB-436	EPR	1ng/ml	5120.514531	4510.608516	3926.226299	2360.487221	2360.487221	2360.487221
100ng/ml EPR (MDA-MB-436)	MDA-MB-436	EPR	100ng/ml	7036.234448	6028.198188	5364.681947	12845.44566	11254.96205	11380.08514
1ng/ml EPR (MDA-MB-453)	MDA-MB-453	EPR	1ng/ml	6793.047939	6465.225921	6430.781948	2672.90306	2207.730713	2460.3309
100ng/ml EPR (MDA-MB-453)	MDA-MB-453	EPR	100ng/ml	9350.160395	8821.818058	7273.450712	7615.382268	6050.298641	3585.167609
1ng/ml EPR (MDA-MB-468)	MDA-MB-468	EPR	1ng/ml	48157.34022	48265.82926	50311.18477	42196.62044	41339.16178	36548.79368
100ng/ml EPR (MDA-MB-468)	MDA-MB-468	EPR	100ng/ml	54712.34607	60249.06685	50162.54865	52909.15707	49577.76039	39059.30578
1ng/ml EPR (T47D)	T47D	EPR	1ng/ml	7149.532517	6882.242151	7697.887389	4712.79921	3406.523796	4862.057387
100ng/ml EPR (T47D)	T47D	EPR	100ng/ml	17694.85315	16134.23392	16323.56084	38328.24901	31395.49134	30055.63816
1ng/ml EPR (UACC-812)	UACC-812	EPR	1ng/ml	4120.573579	3793.189241	3739.868996	27679.38577	26440.81857	27854.69841
100ng/ml EPR (UACC-812)	UACC-812	EPR	100ng/ml	4385.505476	5105.967051	6968.738766	45490.3337	42755.59767	41359.72142
1ng/ml EPR (UACC-893)	UACC-893	EPR	1ng/ml	31734.6065	29220.31752	32929.73314	3301.74737	2073.098393	3240.582049
100ng/ml EPR (UACC-893)	UACC-893	EPR	100ng/ml	34178.00267	39157.92869	26267.51961	6144.550727	7043.910378	3273.511205
1ng/ml EPR (ZR-75-1)	ZR-75-1	EPR	1ng/ml	4258.460794	4605.276257	3579.687143	2602.519475	4207.782246	2909.930936
100ng/ml EPR (ZR-75-1)	ZR-75-1	EPR	100ng/ml	9745.457231	6398.491366	5025.212831	33725.17103	19664.8756	11662.25515
1ng/ml EPR (ZR-75-30)	ZR-75-30	EPR	1ng/ml	6390.276086	7661.297393	6767.303889	17170.47337	17899.15771	16422.45493
100ng/ml EPR (ZR-75-30)	ZR-75-30	EPR	100ng/ml	7695.428587	8372.689005	19276.99619	16451.09482	15532.21964	21734.96666
1ng/ml EPR (184B5)	184B5	EPR	1ng/ml	6273.59702	4839.28338	5092.257034	10466.82692	10459.88847	8010.13279
100ng/ml EPR (184B5)	184B5	EPR	100ng/ml	24008.34809	8202.869499	6809.006164	39766.90756	30615.21211	34256.42039
1ng/ml EPR (HCC1187)	HCC1187	EPR	1ng/ml	15454.32416	15840.54793	17796.88899	4729.919722	1687.261352	3175.649212
100ng/ml EPR (HCC1187)	HCC1187	EPR	100ng/ml	42669.50251	36513.73533	33907.95781	24320.71311	20329.48459	17455.92761
1ng/ml EPR (HCC1500)	HCC1500	EPR	1ng/ml	1244.241173	1244.241173	1909.194253	3077.164256	3077.164256	3077.164256
100ng/ml EPR (HCC1500)	HCC1500	EPR	100ng/ml	1244.241173	1244.241173	2085.055619	3077.164256	3077.164256	3077.164256
1ng/ml EPR (MCF 10A)	MCF 10A	EPR	1ng/ml	5518.745167	3597.627878	3045.685797	12818.41812	6502.357113	3389.933556
100ng/ml EPR (MCF 10A)	MCF 10A	EPR	100ng/ml	16481.26043	9218.722228	8109.28447	28134.90308	20019.91597	13011.51801
1ng/ml EPR (MCF 10F)	MCF 10F	EPR	1ng/ml	3245.374347	2660.336491	2565.86218	2749.391698	1033.043554	952.4800666
100ng/ml EPR (MCF 10F)	MCF 10F	EPR	100ng/ml	2184.760664	2928.668342	2574.854811	20520.52391	14013.49645	10641.3245
1ng/ml EPR (MCF12A)	MCF12A	EPR	1ng/ml	2834.182546	2350.660508	2172.672932	5303.557529	5323.843472	6179.266286
100ng/ml EPR (MCF12A)	MCF12A	EPR	100ng/ml	1808.306537	1921.868019	2393.269373	10122.04869	11137.66606	13357.56007
1ng/ml FGF-1 (MCF7)	MCF7	FGF-1	1ng/ml	1343.42121	1377.204556	889.1092723	17203.2185	10364.52247	16681.85032
100ng/ml FGF-1 (MCF7)	MCF7	FGF-1	100ng/ml	889.1092723	889.1092723	1974.833422	30804.88493	25717.00099	30215.06189
1ng/ml FGF-1 (SK-BR-3)	SK-BR-3	FGF-1	1ng/ml	11691.85471	10297.17864	9097.827676	13222.13461	8774.549107	7198.499423
100ng/ml FGF-1 (SK-BR-3)	SK-BR-3	FGF-1	100ng/ml	9707.288985	9775.920252	9265.10008	14838.99786	2173.008132	2173.008132
1ng/ml FGF-1 (MDA-MB-231)	MDA-MB-231	FGF-1	1ng/ml	2348.904277	2652.586588	547.0725358	138.3882612	1784.113621	3796.304806
100ng/ml FGF-1 (MDA-MB-231)	MDA-MB-231	FGF-1	100ng/ml	547.0725358	547.0725358	547.0725358	13304.53531	4591.806113	3522.64847
1ng/ml FGF-1 (AU565)	AU565	FGF-1	1ng/ml	8433.397171	9350.872114	8281.862611	15598.7224	13351.70442	11722.68179
100ng/ml FGF-1 (AU565)	AU565	FGF-1	100ng/ml	7290.885479	10754.54875	9174.308302	17731.71873	10322.09987	10200.75937
1ng/ml FGF-1 (BT-20)	BT-20	FGF-1	1ng/ml	10136.1079	9341.359932	8112.848008	8622.781881	3862.79315	2708.593061
100ng/ml FGF-1 (BT-20)	BT-20	FGF-1	100ng/ml	10035.85325	7722.819302	9140.065646	12335.466	2143.805498	1689.879846
1ng/ml FGF-1 (BT-474)	BT-474	FGF-1	1ng/ml	19398.86359	21595.11602	21068.31975	13844.83597	10202.89647	13237.47576
100ng/ml FGF-1 (BT-474)	BT-474	FGF-1	100ng/ml	19272.68484	21150.0576	21277.44247	20075.59867	11517.01161	11959.41557
1ng/ml FGF-1 (BT-483)	BT-483	FGF-1	1ng/ml	3050.632691	3324.711004	2904.559669	5787.473291	2611.654209	4062.164697
100ng/ml FGF-1 (BT-483)	BT-483	FGF-1	100ng/ml	3108.000293	3345.12652	2545.552807	20263.5423	7270.588984	6793.462151
1ng/ml FGF-1 (BT-549)	BT-549	FGF-1	1ng/ml	10726.98081	11031.82554	10656.83522	7496.765361	6252.006386	6926.87284
100ng/ml FGF-1 (BT-549)	BT-549	FGF-1	100ng/ml	11950.86	10226.17844	9620.108772	11023.31777	3231.186939	2422.44299
1ng/ml FGF-1 (CAMA-1)	CAMA-1	FGF-1	1ng/ml	5442.481132	6614.566694	8352.064582	2192.909031	1263.861142	6773.236833
100ng/ml FGF-1 (CAMA-1)	CAMA-1	FGF-1	100ng/ml	5797.941066	6293.234156	4695.407299	10781.56248	2822.184303	3342.016264
1ng/ml FGF-1 (HCC1395)	HCC1395	FGF-1	1ng/ml	11719.11649	13341.44902	14740.82455	3995.326826	5136.540291	5234.201057
100ng/ml FGF-1 (HCC1395)	HCC1395	FGF-1	100ng/ml	12900.66047	13479.57985	11718.0914	8065.430044	2294.37206	2294.37206
1ng/ml FGF-1 (HCC1419)	HCC1419	FGF-1	1ng/ml	35822.64091	32718.45963	27867.71204	27244.95974	25313.42822	24535.3271
100ng/ml FGF-1 (HCC1419)	HCC1419	FGF-1	100ng/ml	31364.03996	14681.69714	23477.89053	32744.17996	12634.12478	26035.30175
1ng/ml FGF-1 (HCC1428)	HCC1428	FGF-1	1ng/ml	1040.118819	1040.118819	1040.118819	16528.56802	7232.495949	9282.671258
100ng/ml FGF-1 (HCC1428)	HCC1428	FGF-1	100ng/ml	1040.118819	1040.118819	1040.118819	30065.10194	3291.241485	3398.291675
1ng/ml FGF-1 (HCC1569)	HCC1569	FGF-1	1ng/ml	27128.10584	28346.12743	23535.12618	12539.99799	14173.2431	17134.34402
100ng/ml FGF-1 (HCC1569)	HCC1569	FGF-1	100ng/ml	32168.33291	27114.55748	21991.23898	27225.85699	13140.32833	9802.48397
1ng/ml FGF-1 (HCC1806)	HCC1806	FGF-1	1ng/ml	8660.724349	11007.29165	12415.94467	19921.06794	21037.00045	16426.26049
100ng/ml FGF-1 (HCC1806)	HCC1806	FGF-1	100ng/ml	11572.38929	13652.11226	12168.76394	39330.66695	30859.03338	22759.83402
1ng/ml FGF-1 (HCC1937)	HCC1937	FGF-1	1ng/ml	3822.309201	3487.705712	2496.007142	11713.76079	4414.713716	8760.767539
100ng/ml FGF-1 (HCC1937)	HCC1937	FGF-1	100ng/ml	4653.205093	3287.416278	3070.977646	23828.2825	5217.150305	5997.607535
1ng/ml FGF-1 (HCC1954)	HCC1954	FGF-1	1ng/ml	4105.717891	3064.607828	3811.142194	16440.40081	11178.10016	9327.099431
100ng/ml FGF-1 (HCC1954)	HCC1954	FGF-1	100ng/ml	2979.60689	3140.624106	2914.695248	12874.73525	7335.279574	7884.687063
1ng/ml FGF-1 (HCC202)	HCC202	FGF-1	1ng/ml	69743.04637	69557.58388	61837.62068	6536.079656	5801.407711	5157.289801
100ng/ml FGF-1 (HCC202)	HCC202	FGF-1	100ng/ml	70234.23918	57816.38891	62953.37258	8012.91519	2943.688587	4697.780422
1ng/ml FGF-1 (HCC38)	HCC38	FGF-1	1ng/ml	4016.343934	4769.506462	5433.085202	21571.19163	17706.37907	24848.4996
100ng/ml FGF-1 (HCC38)	HCC38	FGF-1	100ng/ml	4948.410558	4410.644345	3773.940742	37914.72243	10130.5576	5289.263509
1ng/ml FGF-1 (HCC70)	HCC70	FGF-1	1ng/ml	10726.948	11029.68493	10042.16121	1323.5756	976.2970679	746.2348032
100ng/ml FGF-1 (HCC70)	HCC70	FGF-1	100ng/ml	10289.94931	10442.35455	9144.145322	1303.238082	389.867648	389.867648
1ng/ml FGF-1 (Hs 578T)	Hs 578T	FGF-1	1ng/ml	4238.173889	5733.807977	7485.476539	9367.600072	11093.99687	20155.0203
100ng/ml FGF-1 (Hs 578T)	Hs 578T	FGF-1	100ng/ml	22760.93419	11497.26997	6293.026544	61906.30056	30496.88773	22109.52473
1ng/ml FGF-1 (MDA-MB-134-VI)	MDA-MB-134-VI	FGF-1	1ng/ml	842.221377	842.221377	842.221377	3701.050396	4738.166246	5852.54214
100ng/ml FGF-1 (MDA-MB-134-VI)	MDA-MB-134-VI	FGF-1	100ng/ml	842.221377	842.221377	842.221377	12211.20534	9560.006886	7206.597722
1ng/ml FGF-1 (MDA-MB-157)	MDA-MB-157	FGF-1	1ng/ml	1069.931871	1069.931871	1069.931871	9357.110102	11902.25108	8288.566033
100ng/ml FGF-1 (MDA-MB-157)	MDA-MB-157	FGF-1	100ng/ml	1069.931871	1069.931871	1069.931871	14353.07255	2645.27124	252.4573021
1ng/ml FGF-1 (MDA-MB-175-VII)	MDA-MB-175-VII	FGF-1	1ng/ml	12287.52546	13967.20715	12319.54456	24645.85038	26895.31079	24280.57755
100ng/ml FGF-1 (MDA-MB-175-VII)	MDA-MB-175-VII	FGF-1	100ng/ml	12289.32191	11605.40245	12733.57368	25824.70263	26121.07695	25053.0044
1ng/ml FGF-1 (MDA-MB-361)	MDA-MB-361	FGF-1	1ng/ml	1891.410108	2291.394365	1913.088644	2282.145088	2577.301746	2820.952549
100ng/ml FGF-1 (MDA-MB-361)	MDA-MB-361	FGF-1	100ng/ml	2038.783442	2079.697863	1603.686063	3589.622082	1127.749952	166.1702235
1ng/ml FGF-1 (MDA-MB-415)	MDA-MB-415	FGF-1	1ng/ml	32658.77883	34508.59948	27714.38527	2543.943401	1564.370315	3954.951655
100ng/ml FGF-1 (MDA-MB-415)	MDA-MB-415	FGF-1	100ng/ml	42447.0399	33227.11844	26360.0505	13743.621	3377.237212	1157.224057
1ng/ml FGF-1 (MDA-MB-436)	MDA-MB-436	FGF-1	1ng/ml	3960.155524	5512.904484	5422.392381	10779.20167	9233.007211	11689.78798
100ng/ml FGF-1 (MDA-MB-436)	MDA-MB-436	FGF-1	100ng/ml	4464.378665	4102.740275	3989.1645	13368.493	8140.696214	5637.809488
1ng/ml FGF-1 (MDA-MB-453)	MDA-MB-453	FGF-1	1ng/ml	6435.31405	6350.714819	6548.717304	2232.594749	2295.982692	2070.487373
100ng/ml FGF-1 (MDA-MB-453)	MDA-MB-453	FGF-1	100ng/ml	8654.331724	7821.23073	6613.476001	8961.938646	6035.349523	2732.730228
1ng/ml FGF-1 (MDA-MB-468)	MDA-MB-468	FGF-1	1ng/ml	26996.76753	24557.19431	21683.86924	11370.27063	10195.61903	10428.37958
100ng/ml FGF-1 (MDA-MB-468)	MDA-MB-468	FGF-1	100ng/ml	26640.34732	22842.92446	21152.25252	16258.097	6389.485166	7033.014563
1ng/ml FGF-1 (T47D)	T47D	FGF-1	1ng/ml	7223.44474	7457.155008	9458.996896	20559.76783	10211.15018	19428.68736
100ng/ml FGF-1 (T47D)	T47D	FGF-1	100ng/ml	8565.92838	7611.911539	6683.462385	32975.1074	11929.46097	11253.21762
1ng/ml FGF-1 (UACC-812)	UACC-812	FGF-1	1ng/ml	3403.450657	3922.120146	4118.609666	26660.48076	24713.9155	26760.71199
100ng/ml FGF-1 (UACC-812)	UACC-812	FGF-1	100ng/ml	3588.058502	3513.920777	3615.94607	28099.75578	26431.67875	27401.60296
1ng/ml FGF-1 (UACC-893)	UACC-893	FGF-1	1ng/ml	32926.31147	29363.38627	34472.15972	2073.098393	2073.098393	2073.098393
100ng/ml FGF-1 (UACC-893)	UACC-893	FGF-1	100ng/ml	29795.5865	36248.32942	21092.772	2073.098393	2073.098393	2073.098393
1ng/ml FGF-1 (ZR-75-1)	ZR-75-1	FGF-1	1ng/ml	5734.866312	5832.749551	4913.783251	19440.64606	15408.96562	22747.33622
100ng/ml FGF-1 (ZR-75-1)	ZR-75-1	FGF-1	100ng/ml	10970.16299	5846.295892	5619.066945	48822.59761	24905.56868	15532.95028
1ng/ml FGF-1 (ZR-75-30)	ZR-75-30	FGF-1	1ng/ml	6601.280007	7746.259688	6814.599973	16673.97154	18134.89493	17409.50518
100ng/ml FGF-1 (ZR-75-30)	ZR-75-30	FGF-1	100ng/ml	5108.893524	5839.66678	8905.501332	15204.14696	13697.07029	18864.09947
1ng/ml FGF-1 (184B5)	184B5	FGF-1	1ng/ml	8993.083709	6200.818323	5545.491545	23009.52409	19135.0632	16002.2925
