#1.3																									
1750	21	4	0																						
id	Cell Line	Perturbagen	Concentration	Timepoint	pMEK(S217/221)	pERK(T202/Y204)	p-p90RSK(S380)	p-p90RSK(T573)	p-AKT(T308)	p-AKT(S473)	p-mTOR(S2448)	p-p70S6K(T421/S424)	p-p70S6K(T389)	p-S6(S235/236)	p-AMPK(T172)	p-JNK(T183/Y185)	Total c-Jun	p-cJun(S63)	p-P38(T180/Y182)	p-HSP27(S82)	p-NFKB(S536)	Bim	cPARP	p-Histone H3(S10)	p27Kip1
0.00316uM SB590885 @ 10h (MZ7-mel)	MZ7-mel	SB590885	0.00316uM	10h	0.069237	0.589165	0.511905	0.06184	0.505505	0.4068	0.380715	0.75397	0.555285	0.596935	0.2453405	0.698455	0.493012	0.432681	0.08738	0.22622575	0.56401	0.739355	0.1660275	-0.0967475	0.3123
0.00316uM SB590885 @ 24h (MZ7-mel)	MZ7-mel	SB590885	0.00316uM	24h	-0.0729015	0.0677055	0.0920895	0.180445	0.04562645	0.0063912	0.1224335	0.14893	0.01605265	0.1752495	-0.0470025	-0.06532815	0.177566	0.1026627	0.163975	-0.019637	0.034309	0.189415	-0.069601	0.31953	-0.019292
0.00316uM SB590885 @ 48h (MZ7-mel)	MZ7-mel	SB590885	0.00316uM	48h	0.25995	-0.16997815	0.259195	0.369855	0.106422	0.2313	0.191586	0.30921	-0.0963785	-0.42332	0.2546565	0.230756	0.124954	0.198424	0.244875	0.1218255	-0.011008	0.336455	0.204360965	0.616	-0.0349195
0.01uM SB590885 @ 1h (MZ7-mel)	MZ7-mel	SB590885	0.01uM	1h	-0.1365555	0.155675	0.518457	0.2259	0.853425	0.87009	0.54897	0.62333	1.046665	0.602115	0.926025	0.857635	0.62752	0.6097775	0.46038	0.33569	0.76516	0.591165	0.43738	0.20522	0.689325
0.01uM SB590885 @ 5h (MZ7-mel)	MZ7-mel	SB590885	0.01uM	5h	-0.482725	-0.03259	0.18286	0.1336041	0.408165	0.188442	0.2826795	0.45284	0.524665	0.53654	0.29162	0.297603	0.3386255	0.168018	0.1790708	0.0556345	0.40326	0.42013	0.169715	0.006471	0.161121
0.01uM SB590885 @ 10h (MZ7-mel)	MZ7-mel	SB590885	0.01uM	10h	-0.238155	0.383881	0.32876	0.152524	0.410292	0.49517	0.264864	0.73689	0.67518	0.4300595	0.3070045	0.554225	0.316663	0.416166	-0.001695	0.094995	0.50613	0.532011	0.153583	-0.0797232	0.1863995
0.01uM SB590885 @ 24h (MZ7-mel)	MZ7-mel	SB590885	0.01uM	24h	-0.25048	-0.098589	0.09505	0.21536	0.1035075	0.2267	0.125505	0.34346	0.311065	0.277285	0.186187	0.17341	0.1692555	0.18102545	0.2144065	0.06635	0.19785	0.2537485	0.013125	0.3314925	-0.14814
0.01uM SB590885 @ 48h (MZ7-mel)	MZ7-mel	SB590885	0.01uM	48h	0.0817115	-0.33833	0.116015	0.331775	-0.0127465	0.42288	0.09253	0.30079	-0.1420285	-0.664515	0.2073992	0.052195	-0.013615	0.1726505	0.2567	0.064045	0.043653	0.17715	0.209029	0.674085	-0.26335
0.0316uM SB590885 @ 1h (MZ7-mel)	MZ7-mel	SB590885	0.0316uM	1h	-0.56986	-0.950705	0.4969125	0.165705	0.669635	0.627145	0.447414505	0.40932	0.981951	0.379017	0.90088	0.68844	0.411689	0.491367	0.3086088	0.30961	0.68872	0.60601	0.365735	0.34543	0.61062
0.0316uM SB590885 @ 5h (MZ7-mel)	MZ7-mel	SB590885	0.0316uM	5h	-0.85863	-0.6772	0.3131855	0.184175	0.496215	0.181034	0.302395	0.57138	0.561701	0.460864	0.09878	0.428026	0.185735	0.2817215	0.3622275	0.215528	0.52798	0.4885145	0.2298255	0.238838	0.1715725
0.0316uM SB590885 @ 10h (MZ7-mel)	MZ7-mel	SB590885	0.0316uM	10h	-0.833875	-0.081001	0.332369	-0.02142	0.462445	0.4186855	0.27076	0.66253	0.454902	0.27981	0.438327	0.4801685	0.201815	0.3252475	-0.043305	0.1717655	0.51435	0.541896	0.1627935	-0.1999	0.2088535
0.0316uM SB590885 @ 24h (MZ7-mel)	MZ7-mel	SB590885	0.0316uM	24h	-0.84214	-0.684935	0.016	0.08194	0.14639	0.13032	0.084195	0.35266	0.1618	0.148685	0.1018725	0.11505	0.11135	0.097135	0.125625	0.092915	0.34769	0.243675	-0.00677	0.1818565	-0.15096
0.0316uM SB590885 @ 48h (MZ7-mel)	MZ7-mel	SB590885	0.0316uM	48h	-0.39602	-0.74363	-0.091132	0.221525	-0.06034	0.194699	-0.048725	0.1767	-0.365305	-0.76395	0.121295	-0.1213955	-0.1460275	-0.00556	-0.0330535	-0.0032025	-0.071217	-0.048035	0.00245	0.5457525	-0.389645
0.1uM SB590885 @ 1h (MZ7-mel)	MZ7-mel	SB590885	0.1uM	1h	-1.12104	-2.29895	0.63339	0.20257	0.92163	0.656965	0.458351	0.46217	0.7759325	0.4169095	0.918115	0.778805	0.728585	0.58786	0.28781035	0.366859	0.70622	0.819375	0.58351	0.385595	0.716635
0.1uM SB590885 @ 5h (MZ7-mel)	MZ7-mel	SB590885	0.1uM	5h	-1.329815	-1.45295	0.3708175	0.246831	0.592395	0.263167	0.39771	0.5614	0.4933115	0.3413565	0.136827	0.49048	0.399935	0.333645	0.3489075	0.212385	0.49462	0.685185	0.328445	0.2914155	0.25367
0.1uM SB590885 @ 10h (MZ7-mel)	MZ7-mel	SB590885	0.1uM	10h	-1.35259	-0.97338	0.3908924	0.010375	0.529265	0.466235	0.3084095	0.65717	0.5598505	0.051565	0.494905	0.48907	0.329255	0.37068	-0.022065	0.221136	0.41125	0.732175	0.22187	-0.0378075	0.35371
0.1uM SB590885 @ 24h (MZ7-mel)	MZ7-mel	SB590885	0.1uM	24h	-1.470135	-1.46075	0.035575	-0.027195	0.189144	0.075455	0.104565	0.27411	0.16178	-0.13064	-0.00476	0.1255815	-0.001895	0.07773	0.00503	0.091956	0.22572	0.428	0.1251715	-0.01183	-0.03686
0.1uM SB590885 @ 48h (MZ7-mel)	MZ7-mel	SB590885	0.1uM	48h	-1.161775	-1.3703	-0.03532	0.1739	0.037719	0.101569	0.044175	0.21555	-0.1931885	-0.640775	-0.103766	-0.0637325	-0.040228	0.059477	-0.0611125	0.0386865	-0.032664	0.222847	0.04213	0.5878	-0.23244
0.316uM SB590885 @ 1h (MZ7-mel)	MZ7-mel	SB590885	0.316uM	1h	-1.6922	-2.98285	0.48019	0.09745	1.044955	0.469495	0.384241	0.30369	0.588158	0.39316	0.930675	0.688195	0.3545035	0.491708	0.3663065	0.269985	0.47471	0.757105	0.33258	0.290755	0.70624
0.316uM SB590885 @ 5h (MZ7-mel)	MZ7-mel	SB590885	0.316uM	5h	-1.65815	-1.8955	0.412433	0.2921425	0.50535	0.3654265	0.369515	0.62011	0.5739325	0.312446	0.2810065	0.720445	0.2734611	0.4661385	0.48139	0.2684035	0.55436	0.95683	0.230935	0.430505	0.427365
0.316uM SB590885 @ 10h (MZ7-mel)	MZ7-mel	SB590885	0.316uM	10h	-1.64345	-1.53022	0.4086242	0.11231	0.55935	0.54259	0.34342335	0.73689	0.4077355	-0.21642	0.604645	0.783545	0.30882	0.515392	0.1326	0.247085	0.4756	1.003905	0.26029	0.142035	0.62085
0.316uM SB590885 @ 24h (MZ7-mel)	MZ7-mel	SB590885	0.316uM	24h	-1.6766	-1.8164	0.186175	-0.0371325	0.290747	0.218097	0.2324025	0.35193	0.10025	-0.58282	0.1749115	0.48847	0.132723	0.35164875	0.2203265	0.215222	0.47518	0.89397	0.2171055	-0.226625	0.506435
0.316uM SB590885 @ 48h (MZ7-mel)	MZ7-mel	SB590885	0.316uM	48h	-1.76155	-1.91375	-0.0504355	0.1621665	0.089256	0.1527815	0.115625	0.16901	-0.1060625	-0.655755	-0.05326795	-0.049825	0.024492	0.1579185	-0.11155	0.078361	-0.0064629	0.50607	0.056539	0.47271	0.091653
1uM SB590885 @ 1h (MZ7-mel)	MZ7-mel	SB590885	1uM	1h	-1.7457	-3.08475	0.4316485	0.181975	0.791915	0.540455	0.471106	0.39364	0.6017	0.30971855	1.014835	0.857005	0.50517	0.5066705	0.211515	0.3296365	0.71469	0.627128	0.334585	0.281825	0.60136
1uM SB590885 @ 5h (MZ7-mel)	MZ7-mel	SB590885	1uM	5h	-1.8141	-2.6614	0.281805	0.23824	0.55427	0.42883	0.385084725	0.59682	0.52253085	0.12562	0.3148325	0.62857	0.120731	0.4451735	0.4679675	0.2412045	0.49136	0.829855	0.248775	0.38113	0.3017705
1uM SB590885 @ 10h (MZ7-mel)	MZ7-mel	SB590885	1uM	10h	-1.9404	-2.3414	0.16137	-0.01501	0.4228275	0.3906585	0.2469855	0.50968	0.424395	-0.666215	0.56423	0.576815	0.11174	0.3390195	-0.099875	0.1688745	0.23945	0.7053935	0.27329	0.1088705	0.47003
1uM SB590885 @ 24h (MZ7-mel)	MZ7-mel	SB590885	1uM	24h	-1.94435	-2.39865	0.10353	-0.199205	0.2695815	0.2712217	0.17473	0.25147	-0.078775	-1.4404	0.2445225	0.3870935	0.107143	0.329543	0.084845	0.224063	0.40196	0.909025	0.357955	-0.3714	0.69589
1uM SB590885 @ 48h (MZ7-mel)	MZ7-mel	SB590885	1uM	48h	-1.99495	-2.4763	-0.087395	-0.0602115	0.1569755	0.2483495	0.17117	0.13506	0.07044	-0.81073	0.039133	0.12982435	-0.0194035	0.274953	-0.19414	0.131577	0.11649	0.891345	0.463275	-0.0090045	0.246985
3.16uM SB590885 @ 1h (MZ7-mel)	MZ7-mel	SB590885	3.16uM	1h	-1.9907	-3.2379	0.2545665	-0.068185	0.64591	0.352965	0.351533	0.073394	0.569955	0.093455	0.810255	0.544115	0.359975	0.304459	-0.048015	0.209425	0.39745	0.567465	0.24823	0.0519715	0.490735
3.16uM SB590885 @ 5h (MZ7-mel)	MZ7-mel	SB590885	3.16uM	5h	-2.0174	-3.1321	0.158765	0.24547	0.4822655	0.2066865	0.236575	0.51208	0.378555	-0.107882	0.2756742	0.4820845	0.1394765	0.32117	0.29353	0.221515	0.48225	0.7406	0.1995725	0.422665	0.2445125
3.16uM SB590885 @ 10h (MZ7-mel)	MZ7-mel	SB590885	3.16uM	10h	-2.15465	-2.884	-0.036435	-0.1785735	0.35117375	0.1541815	0.13424	0.28464	0.15075	-0.991345	0.417165	0.180042	0.066634	0.2179105	-0.221275	0.06614	-0.08618	0.473255	0.165774	0.0638935	0.422
3.16uM SB590885 @ 24h (MZ7-mel)	MZ7-mel	SB590885	3.16uM	24h	-2.1804	-2.78615	-0.019315	-0.38535	0.3126805	-0.088115	0.03739	0.042201	-0.258145	-1.856	0.274593	0.1944255	-0.0840225	0.088645	-0.1584232	0.1450346	0.2094	0.796605	0.4231615	-0.498455	0.81301
3.16uM SB590885 @ 48h (MZ7-mel)	MZ7-mel	SB590885	3.16uM	48h	-2.1902	-2.8668	-0.162445	-0.4809	0.235181	0.030315	0.057795	-0.14373	-0.125415	-1.265945	0.0623542	-0.064426	-0.051741	0.05097	-0.36234	0.0941665	-0.049081	0.92462	0.51408	-1.003685	0.516575
0.00316uM Selumetinib @ 1h (MZ7-mel)	MZ7-mel	Selumetinib	0.00316uM	1h	0.1848035	0.380465	0.64249	0.13571	0.836355	0.830295	0.4211435	0.56642	0.70917	0.78777	0.78468	0.80995	0.5481655	0.57846	0.44404	0.353975	0.67965	0.632285	0.29629	0.1781	0.77037
0.00316uM Selumetinib @ 5h (MZ7-mel)	MZ7-mel	Selumetinib	0.00316uM	5h	-0.1704345	0.239281	0.349455	0.162732	0.373075	0.0515625	0.2139041	0.2356	0.40869	0.427645	0.036491	0.286813	0.32901	0.2490145	0.32569	0.01776255	0.25381	0.418385	0.0803405	0.0328325	0.227925
0.00316uM Selumetinib @ 10h (MZ7-mel)	MZ7-mel	Selumetinib	0.00316uM	10h	0.1775505	0.63306	0.5633135	0.07341	0.48712	0.387305	0.3381345	0.73824	0.66247	0.62516	0.28096795	0.62553	0.3896235	0.4034552	0.05191	0.2431825	0.52867	0.75183	0.1511415	-0.0681971	0.422795
0.00316uM Selumetinib @ 24h (MZ7-mel)	MZ7-mel	Selumetinib	0.00316uM	24h	0.024127	0.1833705	0.19664	0.260325	0.195175	0.0489885	0.148093	0.27004	0.1259755	0.2357775	0.0333405	0.128715	0.1658245	0.1559455	0.221045	-0.010419	0.11899	0.24046	-0.01958155	0.306795	0.0863285
0.00316uM Selumetinib @ 48h (MZ7-mel)	MZ7-mel	Selumetinib	0.00316uM	48h	0.22985	-0.223095	0.28557	0.46463	0.231726	0.267225	0.2390195	0.43946	-0.076663	-0.563895	0.2536815	0.184698	0.20122	0.319151	0.25886	0.1907805	0.10451	0.38794	0.2830305	0.69498	0.13372
0.01uM Selumetinib @ 1h (MZ7-mel)	MZ7-mel	Selumetinib	0.01uM	1h	0.158238	0.0602105	0.474664	0.09431	0.85765	0.83027	0.535295	0.5059	0.80819	0.61185	0.958285	0.75528	0.627765	0.504658	0.4358845	0.345465	0.66612	0.5146125	0.362805	0.018950655	0.655255
0.01uM Selumetinib @ 5h (MZ7-mel)	MZ7-mel	Selumetinib	0.01uM	5h	-0.0732015	0.199391	0.3546675	0.197638	0.450637	0.29332	0.36126	0.55517	0.67784	0.55235	0.2907395	0.5156235	0.376095	0.2478775	0.44862	0.157573	0.37366	0.4795465	0.13361	0.035167	0.2202705
0.01uM Selumetinib @ 10h (MZ7-mel)	MZ7-mel	Selumetinib	0.01uM	10h	0.0880235	0.483965	0.3464185	0.0719925	0.375502	0.44622	0.264507	0.65188	0.62975	0.397172	0.334616945	0.611105	0.3446535	0.328724	-0.00189	0.193963	0.55231	0.5752655	0.1426808	-0.138125	0.214938
0.01uM Selumetinib @ 24h (MZ7-mel)	MZ7-mel	Selumetinib	0.01uM	24h	-0.021708	0.15915	0.2948215	0.201835	0.2072305	0.2263415	0.2097585	0.45048	0.3614955	0.291194	0.271625	0.3866745	0.223	0.264005	0.3216955	0.11734115	0.4362	0.378326	0.1095485	0.2753975	0.0063375
0.01uM Selumetinib @ 48h (MZ7-mel)	MZ7-mel	Selumetinib	0.01uM	48h	0.077886	-0.371585	0.129452	0.331785	0.06205	0.2951115	0.083645	0.30198	-0.220538	-0.68239	0.2791265	0.14112	-0.0319675	0.162415	0.112566	0.098781	0.0095535	0.2074125	0.179775	0.640045	-0.168595
0.0316uM Selumetinib @ 1h (MZ7-mel)	MZ7-mel	Selumetinib	0.0316uM	1h	0.195442	-0.710925	0.3902671	0.126925	0.76879	0.680225	0.2513705	0.26977	0.755141	0.322522	0.845815	0.56217	0.503135	0.401236	0.2552025	0.278528	0.53252	0.457351	0.364495	0.26597	0.6917
0.0316uM Selumetinib @ 5h (MZ7-mel)	MZ7-mel	Selumetinib	0.0316uM	5h	-0.057325	-0.286315	0.298825	0.2330645	0.49803595	0.30641175	0.31942	0.54185	0.52118	0.4208185	0.115725	0.494218	0.2860065	0.3465655	0.4471975	0.22828	0.59087	0.56132675	0.157374	0.211162	0.2492875
0.0316uM Selumetinib @ 10h (MZ7-mel)	MZ7-mel	Selumetinib	0.0316uM	10h	-0.01009	0.069315	0.351159	-0.01536	0.410045	0.387762	0.269257	0.63896	0.35157	0.12032	0.4948985	0.477903	0.252451575	0.2954165	0.011685	0.162815	0.49551	0.58861	0.175384	-0.0592415	0.316295
0.0316uM Selumetinib @ 24h (MZ7-mel)	MZ7-mel	Selumetinib	0.0316uM	24h	-0.115124	-0.2074825	0.13905	-0.0154045	0.245966	0.1574545	0.15921	0.38524	0.285985	-0.024525	0.10979	0.2607375	0.083455	0.18246	0.1740345	0.134514	0.44716	0.444987	0.126717	-0.027663	0.10905705
0.0316uM Selumetinib @ 48h (MZ7-mel)	MZ7-mel	Selumetinib	0.0316uM	48h	-0.1068385	-0.717835	-0.1945445	0.10708115	-0.04019	-0.01518	-0.095505	0.080481	-0.30554505	-0.857235	-0.011765	-0.239285	-0.18196	-0.07448	-0.228945	-0.0122995	-0.082001	0.15301	0.00126	0.45329	-0.212345
0.1uM Selumetinib @ 1h (MZ7-mel)	MZ7-mel	Selumetinib	0.1uM	1h	0.309425	-1.7328	0.63215	0.3062065	1.01978	0.692815	0.55455	0.49079	0.8985665	0.417709	0.975115	0.846565	0.78015	0.650925	0.423415	0.474313	0.69546	0.782995	0.558745	0.413865	0.776205
0.1uM Selumetinib @ 5h (MZ7-mel)	MZ7-mel	Selumetinib	0.1uM	5h	-0.0078445	-1.216805	0.3676175	0.23433	0.59643	0.3408405	0.35499255	0.57576	0.6757045	0.22505	0.202055	0.51217	0.332825	0.410775	0.451587	0.25211515	0.45747	0.78633	0.393215	0.3053205	0.44093
0.1uM Selumetinib @ 10h (MZ7-mel)	MZ7-mel	Selumetinib	0.1uM	10h	-0.035681	-1.00386	0.2889235	0.01963	0.61199	0.412285	0.301087	0.57643	0.4764475	-0.350545	0.592625	0.440505	0.30892	0.4037815	-0.012215	0.2442601	0.39428	0.80049	0.337105	0.13872	0.48103
0.1uM Selumetinib @ 24h (MZ7-mel)	MZ7-mel	Selumetinib	0.1uM	24h	-0.107075	-1.3707	0.17269	-0.146135	0.33488	0.176968	0.202785	0.21993	0.13787	-1.3437	0.135002	0.297109	0.21945	0.20654	0.11878	0.128497	0.28396	0.80224	0.358449	-0.290755	0.656625
0.1uM Selumetinib @ 48h (MZ7-mel)	MZ7-mel	Selumetinib	0.1uM	48h	-0.052535	-1.135725	0.100595	0.023755	0.373392	0.2758715	0.19081	0.19686	0.09947	-1.03356	-0.03049	0.1879415	0.1142895	0.29550035	-0.1338278	0.196535	0.15008	0.953875	0.41144445	-0.0240425	0.429825
0.316uM Selumetinib @ 1h (MZ7-mel)	MZ7-mel	Selumetinib	0.316uM	1h	0.324013	-2.6813	0.6447835	0.049875	0.69588	0.679955	0.4563315	0.46447	0.5163375	0.39814	1.008905	0.97555	0.56998	0.680705	0.3248015	0.360015	0.68256	0.75494	0.36837	0.416945	0.816355
0.316uM Selumetinib @ 5h (MZ7-mel)	MZ7-mel	Selumetinib	0.316uM	5h	0.1184985	-2.3213	0.39251345	0.223425	0.4582	0.438404	0.409689	0.64114	0.447075	0.171959	0.340928	0.705625	0.311825	0.480349	0.53689	0.321615	0.59973	0.98876	0.321545	0.404695	0.506845
0.316uM Selumetinib @ 10h (MZ7-mel)	MZ7-mel	Selumetinib	0.316uM	10h	0.01771	-2.03925	0.3828375	0.077345	0.55033	0.523445	0.3175908	0.62796	0.446705	-0.72237	0.6525	0.710525	0.238246	0.478548	0.09005	0.26136	0.39207	1.067325	0.276645	0.244665	0.76729
0.316uM Selumetinib @ 24h (MZ7-mel)	MZ7-mel	Selumetinib	0.316uM	24h	0.050547	-2.03045	0.3668695	-0.1015305	0.43958	0.3309855	0.294058	0.30498	0.16251	-2.06255	0.3771505	0.575035	0.25963	0.4663325	0.3322825	0.25044	0.5	1.23493	0.53824	-0.495815	1.320395
0.316uM Selumetinib @ 48h (MZ7-mel)	MZ7-mel	Selumetinib	0.316uM	48h	0.17778	-1.56066	0.1702225	-0.35641	0.41448	0.339465	0.232373	-0.046197	-0.048855	-1.8999	0.26902	0.174075	0.263725	0.396295	-0.0153387	0.231005	-0.061079	1.3235	0.72673	-1.5425	1.223645
1uM Selumetinib @ 1h (MZ7-mel)	MZ7-mel	Selumetinib	1uM	1h	0.3768225	-3.08455	0.517435	0.165375	0.768	0.61159	0.4990355	0.45512	0.7178465	0.32470111	1.01548	0.92008	0.536055	0.64093	0.3483185	0.362075	0.78422	0.739385	0.43685	0.29637	0.747295
1uM Selumetinib @ 5h (MZ7-mel)	MZ7-mel	Selumetinib	1uM	5h	0.1905565	-3.02285	0.25453	0.298535	0.44677425	0.413847	0.3790855	0.61754	0.530667	0.065145	0.358737	0.673905	0.18868	0.4508355	0.4722	0.2345	0.58993	0.841885	0.281315	0.42311	0.485115
1uM Selumetinib @ 10h (MZ7-mel)	MZ7-mel	Selumetinib	1uM	10h	-0.0823925	-3.36185	0.006145	0.00207	0.467642	0.25373	0.1451	0.36749	0.29404	-1.10829	0.54186	0.354575	0.0870315	0.1790095	-0.1588815	0.06723	0.054457	0.729785	0.23702	0.14391985	0.57201
1uM Selumetinib @ 24h (MZ7-mel)	MZ7-mel	Selumetinib	1uM	24h	0.061735	-3.08315	0.227325	-0.145976	0.4409205	0.4155255	0.23845	0.25551	0.13258	-2.25625	0.40695	0.55078	0.22617	0.5048044	0.248345	0.24775	0.43538	1.246275	0.77511	-0.47886	1.36463
1uM Selumetinib @ 48h (MZ7-mel)	MZ7-mel	Selumetinib	1uM	48h	0.365245	-2.48355	0.247436	-0.43356	0.42395	0.618815	0.33874	0.12691	0.126755	-2.4814	0.49702	0.5329	0.23351	0.5107675	0.001405	0.273722	0.26175	1.686355	1.106605	-2.60015	1.57302
3.16uM Selumetinib @ 1h (MZ7-mel)	MZ7-mel	Selumetinib	3.16uM	1h	0.40435	-3.391	0.381542	0.07957	0.64619	0.38888	0.362481	0.17356	0.48446955	0.258495	0.83383	0.607675	0.3496235	0.3712905	0.135882	0.189625	0.56199	0.52631	0.336005	0.291135	0.60024
3.16uM Selumetinib @ 5h (MZ7-mel)	MZ7-mel	Selumetinib	3.16uM	5h	0.271024	-3.50135	0.180275	0.361565	0.4924885	0.2349215	0.264475	0.50533	0.42019	-0.081965	0.36968955	0.477465	0.1865625	0.289025	0.3383235	0.25962605	0.54639	0.736025	0.181511	0.453285	0.321515
3.16uM Selumetinib @ 10h (MZ7-mel)	MZ7-mel	Selumetinib	3.16uM	10h	0.0198505	-3.7899	0.02434	-0.10908	0.436647	0.119014	0.107225	0.19487	0.112245	-1.2743	0.362775	0.1730605	-0.000595	0.12598	-0.28874	0.0131375	0.19482	0.6159	0.1973465	0.10903	0.581565
3.16uM Selumetinib @ 24h (MZ7-mel)	MZ7-mel	Selumetinib	3.16uM	24h	0.0923335	-3.61585	0.1641	-0.30376	0.40875	0.147455	0.08458	0.1334	-0.01656	-2.6552	0.354981	0.37282185	0.064615	0.29269	0.10897	0.2615555	0.46756	1.12572	0.72711	-0.633005	1.394265
3.16uM Selumetinib @ 48h (MZ7-mel)	MZ7-mel	Selumetinib	3.16uM	48h	0.195761	-3.45765	0.068746	-0.552095	0.4808565	0.2472395	0.256805	-0.064792	-0.003125	-3.3857	0.334415	0.288105	0.1263825	0.352392	-0.195204	0.1154265	0.083598	1.567175	1.289045	-2.88435	1.69375
0.00316uM AZ-628 @ 1h (RVH-421)	RVH-421	AZ-628	0.00316uM	1h	0.242875	-0.225365	0.5385915	0.38855	0.79306	0.918185	0.664559	-0.32472	0.5795575	0.69449	1.0025	0.13715	0.029781	-0.0989125	-0.3537865	0.785436	1.5004	0.601875	1.08176	0.257943	0.414627
0.00316uM AZ-628 @ 5h (RVH-421)	RVH-421	AZ-628	0.00316uM	5h	-0.24016	-0.092235	0.167483	0.1451375	0.093118	-0.186285	0.1316715	-0.3209	0.1543165	0.0533825	0.0803395	0.13303	-0.0252335	-0.072421	-0.584915	-0.12301595	-0.32153	0.129703	-0.053235	-0.0403995	-0.3424775
0.00316uM AZ-628 @ 10h (RVH-421)	RVH-421	AZ-628	0.00316uM	10h	0.2718765	-0.127915	0.521245	0.370351	0.530765	0.638875	0.68608	-0.014277	0.577678	0.49213	0.95397	0.29333	-0.006345	0.084816	0.065208	0.4957215	1.5641	0.647065	0.9715885	0.475261	0.354285
0.00316uM AZ-628 @ 24h (RVH-421)	RVH-421	AZ-628	0.00316uM	24h	-0.138903	0.12358	0.33818	0.2727	0.1500805	-0.05598945	0.293765	0.19058	0.26038	0.1723635	0.052302	0.18749	0.0983545	0.162673	0.234175	0.0400525	0.41274	0.1502705	0.237515	0.38152	-0.27187
0.00316uM AZ-628 @ 48h (RVH-421)	RVH-421	AZ-628	0.00316uM	48h	0.350748	-0.270455	0.588835	0.63702	0.28006	0.26205	0.65625	0.23249	0.38376	-0.552655	0.673255	0.22618	-0.21188	0.05603	-0.11931	0.69611	1.0393	0.48302	0.696155	0.61165	0.425415
0.01uM AZ-628 @ 1h (RVH-421)	RVH-421	AZ-628	0.01uM	1h	0.039485	-1.020185	0.536863	0.40815	0.83748	0.965815	0.5933855	-0.43688	0.564295	0.585496	1.119845	0.22615	-0.159776	-0.1665775	-0.61462	0.57224	1.1719	0.614085	0.866245	0.26079475	0.4506855
0.01uM AZ-628 @ 5h (RVH-421)	RVH-421	AZ-628	0.01uM	5h	-0.1051225	0.02114	0.38753065	0.397122	0.285625	0.0422015	0.415947	-0.16402	0.4305275	0.554935	0.56695	0.19588	-0.1118135	-0.1342365	-0.68595	0.2916125	0.51016	0.37642	0.485306	0.448349	0.151201
0.01uM AZ-628 @ 10h (RVH-421)	RVH-421	AZ-628	0.01uM	10h	-0.0809115	-0.3151745	0.3800925	0.23898	0.350725	0.500405	0.478844	-0.1701	0.329385	0.682725	0.747825	0.17115	-0.094069	-0.169444	-0.2363	0.4307815	1.4379	0.340785	0.7572645	0.7053355	0.180082
0.01uM AZ-628 @ 24h (RVH-421)	RVH-421	AZ-628	0.01uM	24h	-0.19997	-0.470201	0.251753	0.243046	0.1371705	-0.088641	0.3524	0.07557	0.308217	0.30160825	0.218208	0.045769	-0.238455	-0.10527445	-0.297149	0.121293	0.75581	0.200996	0.315892	0.6337	0.05088595
0.01uM AZ-628 @ 48h (RVH-421)	RVH-421	AZ-628	0.01uM	48h	0.149451	-0.401814	0.30089	0.3116195	0.1424185	0.210545	0.515575	0.079488	0.23957615	-0.59784	0.560825	0.042337	-0.1703405	-0.042385	-0.281605	0.641127	1.5787	0.3342715	0.804309	0.652255	0.360285
0.0316uM AZ-628 @ 1h (RVH-421)	RVH-421	AZ-628	0.0316uM	1h	-0.39301	-2.07319	0.659877	0.382785	0.798705	0.970105	0.5743065	-0.60683	0.7032905	0.365035	1.10505	0.22618	-0.3350935	-0.098992	-0.977365	0.69677	1.2885	0.89444	0.943855	0.30473995	0.552045
0.0316uM AZ-628 @ 5h (RVH-421)	RVH-421	AZ-628	0.0316uM	5h	-0.47451	-0.4997495	0.431109	0.380685	0.37194	0.0370885	0.45484905	-0.29563	0.611224	0.3906865	0.587535	0.27506	-0.218699	-0.14758	-0.8648605	0.3969425	1.1973	0.705235	0.7278715	0.772879	0.2083725
0.0316uM AZ-628 @ 10h (RVH-421)	RVH-421	AZ-628	0.0316uM	10h	-0.562705	-0.85705	0.4819345	0.337685	0.336395	0.53642	0.433522	-0.36565	0.470195	0.093375	0.7391	0.23938	-0.1554045	-0.112987	-0.308175	0.34731	1.5832	0.610715	0.91114895	0.7214993	0.194045
0.0316uM AZ-628 @ 24h (RVH-421)	RVH-421	AZ-628	0.0316uM	24h	-0.482725	-0.688925	0.477521	0.2691585	0.18980545	-0.204225	0.423715	-0.066017	0.502009	-0.2008695	0.625025	0.20887	0.17188	0.0141355	-0.388818	0.400438	1.5569	0.5626095	1.0855675	0.50737	0.34281
0.0316uM AZ-628 @ 48h (RVH-421)	RVH-421	AZ-628	0.0316uM	48h	-0.23686	-0.480489	0.555165	0.40054	0.157728	0.09692055	0.528125	-0.066015	0.4265695	-0.417625	0.608291	0.20879	0.350505	0.1013595	-0.3133135	0.58699	2.0079	0.5529779	1.22873	0.385075	0.63825
0.1uM AZ-628 @ 1h (RVH-421)	RVH-421	AZ-628	0.1uM	1h	-0.82724	-3.1713	0.5346195	0.518965	0.90918	0.90163	0.6389915	-0.47034	0.52155	0.439885	1.092385	0.18735	-0.199895	0.032975	-1.21663	0.5960646	1.2944	0.962105	0.655345	0.3703315	0.605305
