	('measuredProteinValue 0',)
('109093 992', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	1032.042568
('109094 993', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	978.6146675
('109095 994', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	895.3113631
('109096 995', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	828.1989843
('109097 996', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	251.2281724
('109098 997', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	278.6747468
('109099 998', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	268.5456321
('109100 999', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	274.9814893
('109101 1000', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	287.9248539
('109102 1001', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	286.9917318
('109103 1002', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	104.7662457
('109104 1003', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	104.4822066
('109105 1004', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	96.36279773
('109106 1005', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	97.60048019
('109107 1006', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	93.037037
('109108 1007', 'clName: BT-483', 'clCenterSpecificID: 50107', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	117.8436414
('109109 1008', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.909470515
('109110 1009', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.963638524
('109111 1010', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.923177735
('109112 1011', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.039385324
('109113 1012', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.98780391
('109114 1013', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	0.969598726
('109115 1014', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	216.3585051
('109116 1015', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	209.0121942
('109117 1016', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	216.3994161
('109118 1017', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	209.1444508
('109119 1018', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	205.4725633
('109120 1019', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	220.2733256
('109121 1020', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	103.7109828
('109122 1021', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	119.1127393
('109123 1022', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	103.4298446
('109124 1023', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	124.5121943
('109125 1024', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	117.2739294
('109126 1025', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	115.3501372
('109127 1026', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	160.7229849
('109128 1027', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	156.9836292
('109129 1028', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	152.3327843
('109130 1029', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	161.8930719
('109131 1030', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	150.5289711
('109132 1031', 'clName: BT-549', 'clCenterSpecificID: 50108', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	138.190179
('109133 1032', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.6223016
('109134 1033', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.546371157
('109135 1034', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.637847919
('109136 1035', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.578734278
('109137 1036', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.609525422
('109138 1037', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.480791555
('109139 1038', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	806.6018061
('109140 1039', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	854.220177
('109141 1040', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	925.976383
('109142 1041', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	852.0677467
('109143 1042', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	883.9059064
('109144 1043', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	818.4540389
('109145 1044', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	301.4308527
('109146 1045', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	642.6507057
('109147 1046', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	237.4958475
('109148 1047', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	257.4472164
('109149 1048', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	250.9240741
('109150 1049', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	250.19202
('109151 1050', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	109.1297939
('109152 1051', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	53.53237525
('109153 1052', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	53.09703814
('109154 1053', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	33.37174463
('109155 1054', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	41.10905035
('109156 1055', 'clName: CAMA-1', 'clCenterSpecificID: 50131', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	71.99883297
('109157 1056', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.692694566
('109158 1057', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.571980575
('109159 1058', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.841138089
('109160 1059', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	3.953903376
('109161 1060', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.872181526
('109162 1061', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	2.579386755
('109163 1062', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	502.8536408
('109164 1063', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	827.3648394
('109165 1064', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	852.2931417
('109166 1065', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	768.4985227
('109167 1066', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	773.2728027
('109168 1067', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	837.3447637
('109169 1068', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	195.1403381
('109170 1069', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	216.1299424
('109171 1070', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	227.9515742
('109172 1071', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	184.5138585
('109173 1072', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	186.7256296
('109174 1073', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	195.423776
('109175 1074', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	104.1964671
('109176 1075', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	97.3921778
('109177 1076', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	102.9212019
('109178 1077', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	104.8541883
('109179 1078', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	109.0009816
('109180 1079', 'clName: HCC1187', 'clCenterSpecificID: 50578', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	99.56835729
('109181 1080', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.448584543
('109182 1081', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.481986035
('109183 1082', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.378889769
('109184 1083', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.326312179
('109185 1084', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.762088638
('109186 1085', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.258540828
('109187 1086', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	440.1010635
('109188 1087', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	483.5514443
('109189 1088', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	464.0733955
('109190 1089', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pErk')	488.3220371
('109191 1090', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	457.9340976
('109192 1091', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pErk')	388.3015982
('109193 1092', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	257.309043
('109194 1093', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT1')	222.5560116
('109195 1094', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	218.2203382
('109196 1095', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT1')	234.6383788
('109197 1096', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	240.1262625
('109198 1097', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT1')	253.4836701
('109199 1098', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	160.8345146
('109200 1099', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pSTAT3')	167.1221635
('109201 1100', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	156.1076364
('109202 1101', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: pSTAT3')	161.7441172
('109203 1102', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	176.1903894
('109204 1103', 'clName: HCC1395', 'clCenterSpecificID: 50206', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: pSTAT3')	161.7435198
('109205 1104', 'clName: HCC1419', 'clCenterSpecificID: 50207', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.353747165
('109206 1105', 'clName: HCC1419', 'clCenterSpecificID: 50207', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.200674948
('109207 1106', 'clName: HCC1419', 'clCenterSpecificID: 50207', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.103302551
('109208 1107', 'clName: HCC1419', 'clCenterSpecificID: 50207', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 30', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.221347375
('109209 1108', 'clName: HCC1419', 'clCenterSpecificID: 50207', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.301187236
('109210 1109', 'clName: HCC1419', 'clCenterSpecificID: 50207', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 90', 'timeUnit: minute', 'measuredProtein: NF-kB')	1.222773299
('109211 1110', 'clName: HCC1419', 'clCenterSpecificID: 50207', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 1', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	2778.861527
('109212 1111', 'clName: HCC1419', 'clCenterSpecificID: 50207', 'ppName: IL-2', 'ppLincsID: 200866.0', 'proteinLigandConcentration: 100', 'time: 10', 'timeUnit: minute', 'measuredProtein: pErk')	2637.39161
